Species ID,Red List status,Population trend,Extracted population decline,Population decline years,Population decline details,gen_length_d
12555,VU,decreasing,≥30%,over the past 30-36 years (three generations),the species has declined by at least 30% over the past 30-36 years (three generations),NA
12556,CR,decreasing,>80%,in the past 3 generations (approximately 40 years),in the past 3 generations (approximately 40 years) the population has been reduced by more than 80%,NA
12568,VU,decreasing,≥30%,over three generations (approximately 40 years past and future projected),a continuing decline of at least 30% over three generations (approximately 40 years past and future projected),NA
12557,VU,decreasing,>30%,over the next 40 years (3 generations),more than 30% over the next 40 years (3 generations),NA
39794,CR,decreasing,>80%,over the past 40 years (3 generations),"decline, estimated at more that 80% over the past 40 years (3 generations)",4745
12558,LC,decreasing,around Mysore 41% in certain habitats and 21.5% declines in commensal areas,in the last 20 years,There has been a significant decline reported around Mysore in recent years: 41% in the last 20 years in certain habitats and an overall 21.5% decline in 20 years in commensal areas (Singh and Rao 2004,NA
39795,VU,decreasing,>30%,over the past 40 years (approximately 3 generations),more that 30% over the past 40 years (approximately 3 generations),4745
12559,EN,decreasing,>20%,in the next approximately 25 years,a continued decline of over 20% of the populations in the next approximately 25 years,NA
12560,EN,decreasing,>50%,in the last 40 years (approximately 3 generations),declined by more than 50% in the last 40 years (approximately 3 generations),NA
12561,EN,decreasing,> 50%,last 3 generations (24 years),"Overall, the population of this species is estimated to have declined at a rate exceeding 50% over the last 3 generations (24 years). This decline is expected to continue in the future.",2920
12562,NT,decreasing,significant habitat loss and decline,the last 25-30 years (approximately three generations),there has been significant habitat loss and decline in the last 25-30 years (approximately three generations),NA
12563,VU,decreasing,>30%,over three generations (approximately 40 years) in the past and future,continued decline estimated to be more than 30% over three generations (approximately 40 years) in the past and future,NA
12590,VU,decreasing,>10%,last three generation,"the inferred decline in the last three generations has been greater than 10%, and there is the potential for the population to decline even faster within the next three generations.",1985.8012
12592,VU,2015,NA,overall loss over the last three generations exceeding 30%.,These rates are likely to continue for the next three generations,1825
40560,LC,decreasing,NA,NA,unlikely to be declining at nearly,NA
40561,LC,decreasing,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
12650,VU,decreasing,the number of mature individuals would be fewer.,>10%,over the last 3 generations (12 years),1183.8648
12652,LC,stable,NA,NA,unlikely to be declining.,NA
12653,LC,stable,This bat is rare and local in southeastern Mexico and possible north Central America,large aggregations are found in parts of west Mexico (Arroyo-Cabrales pers. comm.). Very common in Cuba and Dominican Republican (Mancina and Inchaustegui pers. comm.).,NA,NA
5512,LC,unknown,NA,NA,unlikely to be declining.,NA
12702,LC,unknown,NA,NA,unlikely to be declining.,NA
12721,LC,unknown,NA,NA,unlikely to be declining,NA
12753,EN,unknown,>50%,over the past 30 years,a decline well exceeding 50% over the past 30 years,NA
12754,VU,unknown,>30%,over the past 30 years,likely to have resulted in a decline exceeding 30% over the past 30 years,NA
136497,EN,decreasing,>50%,21 years (three generations,"declines of >50% over a period of 21 years (three generations, generation length estimated at seven years)",NA
12764,CR,decreasing,88.88 - 94.12%,1960s - 2004,"Wu et al. (2002) estimated populations of the Chinese Pangolin in China to be 50,000-100,000, in 2004 Wu et al. estimated pangolin populations generally within and close to China have declined by 88.88 - 94.12% from levels in the 1960s.Decreasing in Tiwan. The status of this species in Bangladesh, Bhutan, Myanmar and Thailand is unknown.",NA
12795,VU,decreasing,>30%,10 years,"past and future population decline of greater than 30% over a ten year period,",NA
13296,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
136244,VU,decreasing,>30%,over the next 10 years,"a population decline, estimated to be more than 30% will be met over the next 10 years",NA
12815,VU,decreasing,30%,2008-2018,A population decline of 30% is suspected in the last 10 years from loss of dry thornshrub habitat.,NA
136296,LC,unknown,NA,NA,unlikely to be declining.,NA
12829,LC,unknown,NA,NA,not believed to be declining,NA
12825,LC,unknown,NA,NA,unlikely to be declining.,1976.82975
12827,VU,decreasing,NA,NA,"Total population size was less than 60,000 in 1990s",2257.9474
12832,EN,decreasing,70%,over the past 10 years,"ongoing decline in population size, estimated at 70% over the past 10 years (Batbold 2002)...Its generation length has been estimated as six years",NA
12828,CR,decreasing,>30%,"over the past three years,(but for a 60% decline see ""Population decline details"")","A population reduction of greater than 30% over the past three years has occurred, indicating a larger population decline over the generation length (~ 4-5 years)...Data for 1997 indicated a 60% decline in numbers during the past decade and a similar reduction in geographic range in the last several decades (Bryant et al. 2002).",2190
41652,LC,increasing,NA,NA,In most its range it is no danger of decreasing numbers,NA
12893,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
12898,VU,decreasing,>30%,over the next ten years,predicted to undergo a decline of more than 30% over the next ten years,NA
12904,VU,decreasing,30%<,over the last ten years,estimated to be more than 30% over the last ten years,NA
12907,VU,decreasing,>30%,Last 10 years,believed to have undergone a decline of more than 30% over the last 10 years as inferred from rate of forest loss in the region,NA
136301,VU,decreasing,>30%,three generations (21 years). considering both the past (10 years) and future (11 years),"ongoing population decline, suspected to be greater than 30%, over a period of three generations (21 years) considering both the past (10 years) and future (11 years)",NA
12913,VU,2016,NA,>30%,over a period of three generations (14 years) considering both the past (10 years) and future (4 years),NA
29621,VU,unknown,30%,for the next three generations (15 years),a population reduction of 30% is suspected for the next three generations (15 years),NA
29622,VU,decreasing,>30%,over the past 3 generations (18 years),a decline in population more than 30% over the past 3 generations (18 years),NA
12914,VU,decreasing,>30%,over a period of 3 generations (21 years) considering both the past (10 years) and future (11 years),"suspected to be greater than 30%, over a period of 3 generations (21 years) considering both the past (10 years) and future (11 years)",NA
12945,VU,decreasing,>30%,in the next 15 years (generation length of 5 years),likely to undergo a decline of greater than 30% in the next 15 years (generation length of 5 years),NA
12948,VU,decreasing,>30%,in the past and continuing in the future ... over the three generations,"population decline in the past and continuing in the future, estimated to be more than 30% over the three generations",NA
84459322,LC,unknown,NA,NA,unlikely to be declining fast,NA
13046,LC,stable,NA,NA,unlikely to be declining.,NA
13048,CR,2008,(if it is still extant),>80%,NA,NA
41629,LC,decreasing,NA,NA,no reason to believe it is undergoing a decline.,NA
136604,EN,decreasing,NA,NA,continuing decline in habitat.,NA
13116,LC,stable,NA,NA,unlikely to be declining.,NA
13117,LC,stable,NA,NA,unlikely to be declining.,NA
13143,VU,decreasing,>30%,over the next 30 years (three generations),"Sloth Bear populations are expected to continue declining, at an increasing rate, resulting in a >30% loss over the next 30 years (three generations)",NA
13159,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
13160,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
13219,VU,decreasing,NA,NA,continuing decline,NA
13220,NT,decreasing,>20%,10 years (3 generations),it is likely that continuing population declines of at least 20% over ten years,NA
13241,DD,unknown,30%,three generations,NA,NA
13243,DD,unknown,30%,three generations.,As a relatively uncommon species it is potentially vulnerable to low-level threats and a 30% global reduction over three generations cannot be ruled out.,NA
13245,DD,unknown,NA,NA,30% global reduction over three generations cannot be ruled out,NA
41759,DD,unknown,30%,over three generations,a 30% global reduction over three generations cannot be ruled out (criterion A).,NA
13251,DD,unknown,NA,NA,a 30% global reduction over three generations cannot be ruled out,NA
13252,DD,unknown,See column AI,NA,a 30% global reduction over three generations cannot be ruled out (criterion A).,NA
41760,DD,unknown,NA,NA,a 30% global reduction over three generations cannot be ruled out,NA
41520,LC,decreasing,NA,NA,no reason to believe that it is declining at a rate that would warrant listing in a threatened category.,NA
39912,VU,decreasing,>30%,over the past 18 years (three generations),the species has declined by at least 30% over the past 18 years (three generations),NA
136804,VU,decreasing,30%≤,over the past 18 years (three generations),the species has declined by at least 30% over the past 18 years (three generations),NA
13319,LC,unknown,NA,NA,unlikely to be declining,NA
16971390,EN,decreasing,NA,NA,decline,NA
13325,VU,decreasing,≥30%,over a period of 15 years (three generations),a population decline of ≥30% over a period of 15 years (three generations)...A population reduction of ≥30% over a 15 year period (including both the past and the future) is also suspected,NA
54007828,LC,decreasing,NA,NA,unlikely to be declining.,NA
13407,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
13409,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
13417,VU,stable,NA,NA,no threats currently identified.,373.6238021
13418,NT,decreasing,NA,NA,"occurs in protected areas, and because it is unlikely to be declining.",NA
13427,LC,stable,NA,NA,unlikely to be declining,NA
136561,LC,stable,Yucatan Peninsula- common                  southward in rainforest- rare and local,NA,NA,NA
81633156,NT,unknown,>30%,in the next 15 years,to decline of at least 30% in the next 15 years,NA
13561,NT,decreasing,~30%,NA,the rate of population decline may approach 30%,NA
13584,EN,decreasing,>50%,10 years,population decline of ≥50% over a period of 10 years,NA
136684,EN,decreasing,≥50%,2009-2029,"There is a suspected population reduction of ≥50% in this species over a three generation period (around 20 years, estimating the generation length to be 6.5 years). This time period includes both the past and the future (2009-2029).",1825
13645,LC,decreasing,NA,NA,unlikely to be declining,NA
88087507,LC,stable,NA,NA,unlikely to be declining.,NA
51343071,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing it in a threatened category.,NA
40513,LC,unknown,NA,NA,unlikely to be declining.,NA
13837,LC,unknown,NA,NA,unlikely to be declining.,NA
13842,NT,decreasing,~30%,over the next ten years,likely to be declining close to 30% over the next ten years,NA
13846,NT,unknown,<30%,"over a 15 year period; i.e., three generations","probably at a rate of less than 30% over a 15 year period; i.e., three generations",NA
13877,LC,unknown,"abundance within its restricted distribution, and its presumed large population.",NA,NA,NA
71733227,EN,2017,Goodman (2007) found bats allocated to this species to be common at several sites on Mauritius.,> 80%,last 18 years,NA
13885,VU,decreasing,>10%,over three generations,habitat loss within its range is likely to cause continuing declines of greater than 10% over three generations,NA
136643,EN,decreasing,>50%,last three generations (approximately 21 years),suspected to be more than 50% over the last three generations (approximately 21 years),NA
13894,EN,decreasing,>50%,last three generations (approximately 21 years),"serious population decline, inferred to be more than 50% over the last three generations (approximately 21 years)",NA
13895,EN,decreasing,>50%,over the last three generations (approximately 21 years),more than 50% over the last three generations (approximately 21 years),NA
136750,EN,decreasing,>50%,last three generations (approximately 21 years),estimated to be more than 50% over the last three generations (approximately 21 years),NA
13896,EN,decreasing,<50%,over the last three generations (approximately 21 years),more than 50% over the last three generations (approximately 21 years),NA
13901,EN,decreasing,>50%,over the last three generations (approximately 21 years),estimated to be more than 50% over the last three generations (approximately 21 years),NA
13897,VU,decreasing,≥30%,over the next three generations (Generation length has been estimated as six years),a population reduction of at least 30% over the next three generations (Generation length has been estimated as six years),NA
42189,NT,decreasing,NA,~20-25%,"Estimating the true population reduction over ca the last 15 years (assuming a generation length of ca 5 years) is extremely difficult, however a suspected decline of 20-25% seems quite plausible",NA
13924,VU,decreasing,> 30%,"last three generations (approximately 18 years),","In 2008 the justification was given as a probable serious population decline, estimated to be more than 30% over the last three generations (approximately 18 years),",2190
136551,LC,decreasing,NA,NA,"In Vietnam, Laos and parts of China declines probably have exceeded 30% in the last three generations (10–15 years). On balance the large range in India, Sri Lanka, Nepal, and Thailand, probably greater than 50% of the species' geographic range, and enormous total population of these countries in only shallow decline, mean that the global population is unlikely to be declining overall (past present or future) at rates sufficient to warrant listing as even Near Threatened.",NA
44703,CR,decreasing,Total >90%,1993-2003,"""The global population has in the past 15-25 years has almost certainly exceeded a decline rate of over 90% and will surely do so in the future if current trends continue.""",NA
13936,VU,decreasing,> 30%,past 15 years (approximately since 1990),estimated population reduction of at least 30% in the past 15 years (approximately since 1990),NA
13937,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
84487939,CR,unknown,NA,NA,threatened by habitat loss.,NA
13945,VU,decreasing,≥30%,in the last 15 years and that this rate of decline will continue for the next 15 years,declined by at least 30% in the last 15 years and that this rate of decline will continue for the next 15 years,NA
13952,LC,stable,NA,NA,no major threats.,NA
13955,LC,unknown,NA,NA,unlikely to be declining.,NA
13956,LC,stable,NA,NA,unlikely to be declining.,NA
13992,LC,unknown,NA,NA,parts of its northern range populations are declining.           Lithuania-   no decline has been observed.,NA
14025,LC,unknown,NA,NA,decline rates in portions of its range being insufficient to result,NA
41653,NT,decreasing,< 30%,three generations [taken to be 15 years],probably at a rate of less than 30% over three generations [taken to be 15 years],NA
29679,LC,decreasing,NA,NA,"unstable population densities, strongly dependent on food resources.        rate of population decline.",NA
14018,CR,decreasing,">50% and >80%, respectively, see AH","In the last ten years (a period exceeding three generations) and in the next ten years, respectively","In the last ten years (a period exceeding three generations) this is inferred to have resulted in the loss of over half the population, and it is predicted to intensify in the next ten years to result in a decline rate exceeding 80% because of habitat degradation/loss and the effects of introduced species",NA
14020,EN,2015,"The estimated number of breeding adults rose to 448 in 2009, but had declined to 274 in 2012, and was similar in 2015, at 295. The overall approximate population decline from 2008 to 2015 was about 40%. Of these, 206 mature individuals occur in self-sustaining free-living populations.",NA,NA,NA
41658,LC,decreasing,in Romania 22-25%,during the 14 years to 2013,Romania … a 22–25% decline during the 14 years to 2013,NA
14089,DD,unknown,The species is extremely rare.,NA,NA,NA
14100,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
41381,LC,unknown,NA,NA,unlikely to be declining.,NA
14116,LC,unknown,NA,NA,Not known to be under any major threat,NA
14140,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
14142,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
14143,EN,unknown,NA,NA,Across the years there is evidence of a cycle of high fluctuations,NA
14144,LC,stable,NA,NA,unlikely to be declining,NA
14145,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
14147,LC,stable,NA,NA,unlikely to be declining,NA
14123,NT,decreasing,30%,15 years,It is suspected that these threats may result in a population decline approaching 30% over a 15 year period including both the past and the future.,NA
14148,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
14150,LC,unknown,NA,NA,unlikely to be declining.,NA
14126,VU,decreasing,>30%,18 years,It is suspected that population declines are underway that will exceed 30% over 18 years (3 generations).,NA
14152,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
14157,LC,stable,NA,NA,unlikely to be declining.,NA
136288,CR,unknown,The species might be extinct.,NA,NA,NA
14172,LC,stable,>70%,"a time period of three generations (18 years), including both past (12 years) and future (6 years)","considering a time period of three generations (18 years), including both past (12 years) and future (6 years), this species is likely to have declined by more than 70%",NA
14176,LC,stable,>50%,over the next three generations (15-30 years),a reduction in the total number of mature individuals of more than 50% will occur over the next three generations (15-30 years),NA
14178,NT,decreasing,~30%,over the next fifteen years,decline probably at a rate close to 30% over the next fifteen years,NA
14193,NT,decreasing,~30%,over the next 15 years due to water pollution (5 years generation length used),declining at a rate close to 30% over the next 15 years due to water pollution (5 years generation length used),NA
14194,NT,decreasing,30%,over the last 15 years...This rate of decline is predicted to continue for the next fifteen years,has probably undergone a decline close to 30% over the last 15 years...This rate of decline is predicted to continue for the next fifteen years,NA
14136,NT,stable,>50% please see row AI,over the last 10 years (Clawson 2004),"In the 2008, a decline has been calculated to be more than 50% over the last 10 years (Clawson 2004). However, recent population estimates show a stationary condition between 1983 and 2005 (0.5% mean annual change, 95% confidence interval [CI] = -2.8, +1.8%) (Thogmartin et al. 2012).",NA
14209,VU,decreasing,>30%,over the last three generations,"This bat is listed as Vulnerable because of a population decline, observed to be >30% over the last three generations due effects of introduced taxa (like rats and cats)",NA
14211,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
14224,VU,decreasing,>30%,the last three generations (suspected to be around 21 years),it is likely that the population has suffered an overall reduction in population size of >30% over the last three generations (suspected to be around 21 years),NA
14256,VU,decreasing,<30%,over the past 30 years (three generations),a suspected population reduction of at least 30% over the past 30 years (three generations),NA
14258,NT,unknown,<~30%,Over the past 30 years (3 generations),Over the past 30 years (3 generations) this species has declined by nearly (but not quite) 30%,NA
14294,VU,decreasing,NA,NA,probably continuing decline in the number of mature individuals,NA
14295,VU,decreasing,>30%,over the last three generations (approximately 21 years),"decline, estimated to be more than 30% over the last three generations (approximately 21 years)",NA
14296,NT,decreasing,<30%,"over three generations, taken at 21 years","probably at a rate of less than 30% over three generations, taken at 21 years",NA
14303,VU,decreasing,>30%,three generations (21 years),"this species is believed to be in significant decline (probably at a rate of mores than 30% over three generations, taken at 21 years) because of both over-hunting taking place within its range.",NA
41589,LC,unknown,NA,NA,probably undergoing some localised declines.,NA
63541,VU,decreasing,>10%,over 17 years (three generations),declined at a rate exceeding 10% over 17 years (three generations),2555
14352,EN,decreasing,>50%,over the past 3 generations (approximately 36-40 years),Numbers have declined by more than 50% (but probably less that 80%) over the past 3 generations (approximately 36-40 years),NA
136448,NT,unknown,20-25%,three generations (with a generation length of 5 years,suspected with a rate of 20-25% over the past three generations (with a generation length of 5 years,NA
136548,NT,decreasing,20%-25%,within the next three generations (approximately 17 years),"it is suspected that within the next three generations (approximately 17 years), the population decline will be 20-25%",NA
136756,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a threat category.,NA
136603,VU,2015,"AOO suggests that the number of mature individuals range-wide could be around 4,500 individuals, with around 3,800 persisting in Borneo and as few as 730 individuals remaining in Sumatra.",NA,NA,2664.41
14519,VU,decreasing,30%≤,"over the last three generations (GL of 7 years [Pacifici et al. 2013] x 3 = 21 years, 1993–2014)","A reduction of at least 30% in the number of mature individuals over the last three generations (GL of 7 years [Pacifici et al. 2013] x 3 = 21 years, 1993–2014) is suspected...an equivalent future decline is also suspected (a minimum future reduction in the number of mature individuals of 30% from 2015–2036)",NA
14520,LC,decreasing,< 30%,10 years or three generations,", the rate of decline is probably much less than 30% over 10 years or three generations. Area of occupancy, number of subpopulations, and population size probably have declined (Lefebvre and Tilmant 1992), but the extent of decline is uncertain.",NA
727,LC,stable,NA,NA,unlikely to be declining.,NA
13654,EN,decreasing,>20%,within two generations (30 years),overall decline of more than 20% within two generations (30 years),NA
14549,EN,decreasing,57%,in three generations,"total pup production has declined by 57% in three generations (Goldsworthy, unpublished data).",NA
41754,EN,decreasing,~70%,NA,NA,NA
198920,VU,decreasing,30%≤,"over the last three generations (about 45 years, assuming 15 years/generation","a decline of at least 30% over the last three generations (about 45 years, assuming 15 years/generation)...over three generations into the future",NA
44917,NT,decreasing,<30%,10 year,"decline (but at a rate of less than, but close, to 30% over a ten year period)",NA
44918,LC,stable,NA,NA,unlikely to be declining,NA
44920,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
21364,LC,stable,NA,NA,existing information does not indicate a decline.,NA
14582,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category. Subspecies,NA
14581,NT,decreasing,30%,NA,"Listed as Near Threatened, although it has a large range, it is a microhabitat specialist being dependent on rocky areas for its habitat, and it has experienced declines in many parts of its range with a significant percentage of its historical range no longer occupied. This decline is close to 30% making it close to qualifying for Vulnerable under criterion A2c. The cause(s) of the decline are not well understood.",NA
14600,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
15586,LC,unknown,NA,NA,unlikely to be declining at nearly,NA
136833,LC,unknown,NA,NA,unlikely to be declining.,NA
14660,EN,decreasing,>50%,10 years,"serious population decline, estimated to be more than 50% over the last ten years",NA
14812,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
14813,LC,stable,NA,NA,unlikely to be declining.,NA
14819,LC,unknown,NA,NA,unlikely to be declining,NA
14820,LC,decreasing,NA,NA,unlikely to be declining,NA
14829,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
39775,CR,decreasing,80%,last 45 years  (3 generations),an estimate of over 80% decline in the last 45 years (3 generations),5475
39895,CR,decreasing,>80%,"over the past 45 years (three generations)... Over the coming 45 years, this decline is likely to reach similar proportions for the same reasons.","has declined by at least 80% over the past 45 years (three generations) due primarily to hunting and habitat loss. Over the coming 45 years, this decline is likely to reach similar proportions for the same reasons.",NA
41642,CR,3.1,45-47,NA,80%≤,5475
39896,EN,decreasing,50%≤,over the past 45 years (three generations),the species has declined by at least 50% over the past 45 years (three generations),NA
136273,LC,unknown,NA,NA,unlikely to be declining,NA
20477,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
20479,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
14922,VU,decreasing,NA,NA,may be declining,1825
14926,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
14927,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
14932,VU,decreasing,>30%,over the next 15 years,decline of more than 30% over the next 15 years,NA
14937,NT,decreasing,~30%,over the next 15 years,Its populations are likely to decline by close to 30% over the next 15 years,NA
39758,VU,decreasing,>30%,three generations (approximately 21-24 years),there is more than 30% reduction in population over three generations (approximately 21-24 years),NA
39759,VU,decreasing,30%<,21-24 years - 3 generations,more than 30% reduction in population over three generations,NA
39761,CR,decreasing,>80%,over the last 24 years (equals three generations),a suspected decline of at least 80% over the last 24 years (equals three generations,NA
39760,VU,decreasing,>30%,over three generations (approximately 21-24 years),there has probably been more than a 30% reduction in population over three generations (approximately 21-24 years),NA
14941,VU,decreasing,>30%,"over the last three generations (24 years, given a generation length of 8 years)","a decline of more than 30% over the last three generations (24 years, given a generation length of 8 years)",NA
14954,LC,stable,NA,NA,not believed to be declining.,NA
14967,LC,unknown,It is generally a common species (Flannery 1995,Bonaccorso 1998).,NA,NA
14993,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
15000,LC,stable,NA,NA,not believed to be declining,NA
15001,LC,stable,NA,NA,no reason to believe the species is in decline.,NA
15011,LC,stable,NA,NA,increase (unspecified as to which extent) over the past decade or so,NA
15050,EN,2008,"Qualitatively the abundance of active sign has decreased greatly since the early investigations of the species in the late 1980s. Overall we estimate that there are less than 1,000 living Ili pikas, and no subpopulation comes close to having 250 individuals.",>50%,past decade,751.47417
15106,VU,unknown,50%,between 1980 and 2000,Models suggest that Pacific Walrus abundance declined by 50% between 1980 and 2000 (Udevitz et al. 2009),NA
136624,LC,unknown,NA,NA,unlikely to be declining,NA
15131,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
136358,LC,decreasing,NA,NA,unlikely to be declining.,NA
15188,EN,decreasing,>50%,over three generations (24 years),"The rate of decline is estimated to have exceeded 50% over three generations (24 years), based on figures from surveys in the Okapi Wildlife Reserve (Réserve de Faune à Okapis; RFO) suggesting a 43% decline over the period 1995-2007,",4764.235717
15241,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
15242,LC,decreasing,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
15243,LC,stable,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
15248,LC,stable,locally common and widespread.,NA,NA,NA
15337,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category,NA
136315,VU,2017,"it is highly likely that the largest subpopulation has <1,000 mature individuals and that there could well be fewer than 10,000 mature individuals across the range...9000-10000 mature - website",NA,NA,NA
39924,CR,decreasing,80%,three generations (48 years),a total population decline of at least 80% over three generations (48 years),NA
40488,NT,decreasing,30%,27-36 year (=three generation),"This decline is inconsistent across its range, and the overall rate of decline is poorly defined, but is likely to approach but not exceed >30% over a 27-36 year (=three generation) period.",2878.755
15544,LC,increasing,locally common.               presumed large population.               Bahia Honda (Pacific coast) and Santa Fe NP it is rare.                 occurrence in protected areas.,NA,NA,NA
41504,LC,unknown,NA,NA,"their numbers in some countries are undoubtedly reduced.     southern Africa - there is little reason to believe that they are decreasing or increasing significantly.     in eastern, central, and western Africa- numbers may be declining.",NA
15571,NT,decreasing,>25%,3 generations (21-24 years),predicted that the overall level of decline will reach at least 25% over the last 3 generations (21-24 years),2555
15629,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
15640,NT,decreasing,10%-15%,over the past 11 years (three generations),populations are suspected to be fragmented and to have declined by 10–15% over the past 11 years (three generations),2036.1475
110662638,NT,decreasing,47-61%,by 2050,47-61% population reduction by 2050.     1.8 years-  generation length,NA
15665,LC,decreasing,NA,NA,*,NA
20481,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
136205,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category,NA
15783,LC,unknown,NA,NA,unlikely to be declining at nearly the rate required to qualify for listing in a threatened category.,NA
136725,LC,unknown,NA,NA,unlikely to be declining,NA
45959327,VU,unknown,NA,NA,unknown,NA
15803,NT,decreasing,20-25%,last ten years,"population decline as a result of habitat loss, which may have approached 20-25% over the last ten years.",2846.6847
15932,EN,decreasing,likely >50%,over a three-generation (75 year) period from 2003 to 2078,The population decline over a three-generation (75 year) period from 2003 to 2078 is likely to exceed 50%,NA
15933,EN,decreasing,>50%,over a three-generation (75 year) period from 1975 to 2050,The maximum population reduction over a three-generation (75 year) period from 1975 to 2050 is suspected to exceed 50%,7300
15951,VU,decreasing,Total (Excluding Asiatic lion) ~43%,"over the past 21 years (approximately three Lion generations, 1993-2014)","The Lion population is inferred to have undergone a reduction of approximately 43% over the past 21 years (approximately three Lion generations, 1993-2014).",2190
15953,NT,decreasing,20-25% decline,over the past three generations (21 years),suspected 20-25% decline over the past three generations (21 years),3581.681317
15954,VU,decreasing,>30% In Africa,over the last three Leopard generations (calculated as 22.26 years),"

We calculated generation length as 7.42 years… With such reductions to Leopard prey, we infer a >50% loss of Leopard populations across East and West Africa...In summary, the combination of widespread habitat loss (21% in sub-Saharan Africa in 25 years) and prey loss inside African protected areas (59% decline) is likely to have caused concomitant Leopard declines of >30% over the last three Leopard generations.",NA
15955,EN,2015,"global Tiger estimate published in the 2010 Red List assessment of 2,154 tigers was an updated version of the estimate of Tiger numbers in source sites (Walston et al. 2010a)",> 50%,1998-2010,2920
22732,VU,decreasing,≥10%,over 22.62 years (3 generations),projected decline of at least 10% over 22.62 years (3 generations),2920
15975,NT,decreasing,NA,NA,Populations may be declining,NA
92474664,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
40606,LC,stable,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
10276,NT,stable,10%,next three generations (24 years),decline of 10% over the next three generations (24 years),NA
16114,LC,unknown,NA,NA,unlikely to be declining,NA
41469,LC,stable,NA,NA,population is not believed to be in decline.,NA
40025,VU,unknown,NA,NA,continuing decline,NA
16203,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
16204,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
16218,NT,decreasing,~25%,not specified,"In summary, the population is probably slightly too large and declining too slowly (c. 25%)",NA
7671,LC,unknown,NA,NA,no evidence that the decrease has been rapid enough,NA
16467,LC,unknown,NA,NA,unlikely to be declining.,NA
16484,NT,decreasing,17-25%,three generations (13 years),"Collation of available subpopulation data from 13 formally protected areas across its range with adequate long-term count data suggests a decline of 17-25% over three generations.                                                The IUCN SSC Antelope Specialist Group estimate generation length as 4.4 years, yielding a 13 year three generation window (D. Mallon pers. comm. 2016)",1787.9305
16508,LC,unknown,NA,NA,unlikely to be declining.,NA
16651,LC,stable,NA,NA,unlikely to be declining,NA
136323,LC,unknown,NA,NA,unlikely to be declining fast enough to qualify for listing in a more threatened category.,NA
16652,LC,stable,NA,NA,unlikely to be declining.,NA
